ID,Airline Name,Verified,Date Flown,Value For Money,Recommend
141,Aegean Airlines,TRUE,September 2022,5,yes
142,Aegean Airlines,TRUE,September 2022,2,no
143,Aegean Airlines,TRUE,June 2022,3,no
144,Aegean Airlines,TRUE,September 2022,3,yes
145,Aegean Airlines,TRUE,August 2022,1,no
146,Aegean Airlines,TRUE,September 2022,1,no
147,Aegean Airlines,TRUE,June 2022,5,yes
148,Aegean Airlines,TRUE,August 2022,1,no
149,Aegean Airlines,FALSE,August 2022,5,yes
150,Aegean Airlines,TRUE,August 2022,1,no
151,Aegean Airlines,TRUE,August 2022,1,no
152,Aegean Airlines,TRUE,July 2022,1,no
153,Aegean Airlines,TRUE,July 2022,1,no
154,Aegean Airlines,FALSE,July 2022,5,yes
155,Aegean Airlines,TRUE,July 2022,2,no
156,Aegean Airlines,TRUE,July 2022,1,no
157,Aegean Airlines,TRUE,July 2022,1,no
158,Aegean Airlines,FALSE,June 2022,5,yes
159,Aegean Airlines,FALSE,June 2022,1,no
160,Aegean Airlines,TRUE,June 2022,1,yes
161,Aegean Airlines,FALSE,June 2022,1,no
162,Aegean Airlines,FALSE,June 2022,5,yes
163,Aegean Airlines,TRUE,May 2022,3,no
164,Aegean Airlines,TRUE,May 2022,1,no
165,Aegean Airlines,TRUE,April 2022,5,yes
166,Aegean Airlines,FALSE,April 2022,5,yes
167,Aegean Airlines,TRUE,May 2021,1,no
168,Aegean Airlines,TRUE,April 2022,1,no
169,Aegean Airlines,TRUE,April 2022,1,no
170,Aegean Airlines,FALSE,September 2021,1,no
171,Aegean Airlines,TRUE,April 2022,1,no
172,Aegean Airlines,FALSE,March 2022,5,yes
173,Aegean Airlines,TRUE,April 2022,1,no
174,Aegean Airlines,TRUE,February 2022,5,yes
175,Aegean Airlines,FALSE,February 2022,5,yes
176,Aegean Airlines,FALSE,February 2022,2,yes
177,Aegean Airlines,TRUE,December 2021,1,yes
178,Aegean Airlines,TRUE,December 2021,1,no
179,Aegean Airlines,TRUE,November 2021,5,yes
180,Aegean Airlines,TRUE,December 2021,1,no
181,Aegean Airlines,TRUE,November 2021,2,no
182,Aegean Airlines,TRUE,November 2021,1,no
